Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
483,Tyus Jones,29,DEN,PG,9,0,5.3,0.4,1.4,.308,0.2,1.0,.222,0.2,0.4,.500,.385,0.0,0.1,.000,0.0,0.6,0.6,0.7,0.1,0.0,0.3,0.0,1.1,,jonesty01
484,Amir Coffey,28,2TM,SG,44,2,10.1,1.0,2.1,.484,0.3,0.9,.317,0.7,1.2,.615,.554,0.5,0.6,.786,0.4,0.8,1.2,0.5,0.2,0.1,0.2,0.6,2.8,,coffeam01
484,Amir Coffey,28,MIL,SG,30,2,8.8,0.9,1.8,.473,0.2,0.8,.280,0.6,1.0,.633,.536,0.4,0.5,.867,0.2,0.7,0.9,0.4,0.1,0.1,0.1,0.5,2.4,,coffeam01
484,Amir Coffey,28,PHO,SG,14,0,12.7,1.4,2.7,.500,0.4,1.1,.375,0.9,1.6,.591,.579,0.6,0.9,.692,0.9,1.0,1.9,0.9,0.4,0.1,0.2,1.0,3.8,,coffeam01
485,AJ Johnson,21,2TM,SG,46,0,8.9,1.0,3.4,.303,0.2,1.1,.212,0.8,2.2,.350,.339,0.5,0.6,.815,0.3,0.9,1.2,1.0,0.2,0.0,0.5,0.5,2.8,,johnsaj01
485,AJ Johnson,21,WAS,SG,25,0,8.6,1.1,3.3,.325,0.3,1.0,.280,0.8,2.3,.345,.367,0.4,0.5,.750,0.3,0.9,1.2,0.9,0.3,0.0,0.7,0.6,2.8,,johnsaj01
485,AJ Johnson,21,DAL,SG,21,0,9.3,1.0,3.4,.278,0.2,1.3,.148,0.8,2.1,.356,.306,0.6,0.7,.867,0.2,0.8,1.0,1.0,0.2,0.1,0.3,0.4,2.7,,johnsaj01
486,Christian Koloko,25,3TM,C,26,4,12.9,1.2,2.7,.435,0.0,0.3,.143,1.1,2.4,.468,.442,0.3,0.4,.727,1.1,1.7,2.8,0.7,0.5,0.8,0.5,1.7,2.7,,kolokch01
486,Christian Koloko,25,LAL,C,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,,kolokch01
486,Christian Koloko,25,MEM,C,11,2,17.7,1.3,3.2,.400,0.0,0.1,.000,1.3,3.1,.412,.400,0.1,0.4,.250,1.7,2.3,4.0,0.9,0.9,1.2,0.6,1.8,2.6,,kolokch01
486,Christian Koloko,25,ATL,C,13,2,10.4,1.2,2.6,.471,0.1,0.5,.167,1.2,2.2,.536,.485,0.5,0.5,1.000,0.7,1.5,2.2,0.5,0.3,0.7,0.5,1.8,3.1,,kolokch01
487,Riley Minix,25,2TM,SF,7,0,3.6,1.1,1.7,.667,0.4,0.9,.500,0.7,0.9,.833,.792,0.0,0.0,,0.3,0.4,0.7,0.6,0.1,0.0,0.3,0.4,2.7,,minixri01
487,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,,minixri01
487,Riley Minix,25,CLE,SF,4,0,4.3,1.0,1.5,.667,0.5,0.8,.667,0.5,0.8,.667,.833,0.0,0.0,,0.3,0.5,0.8,0.8,0.0,0.0,0.5,0.5,2.5,,minixri01
488,Pat Connaughton,33,CHO,SG,41,0,7.1,0.9,2.0,.452,0.5,1.3,.404,0.4,0.8,.531,.577,0.3,0.5,.650,0.4,1.1,1.5,0.4,0.3,0.0,0.2,0.2,2.7,,connapa01
489,Gary Harris,31,MIL,SG,48,2,13.8,1.0,2.2,.442,0.6,1.4,.412,0.4,0.8,.500,.577,0.2,0.2,.889,0.3,0.9,1.3,1.1,0.6,0.2,0.4,1.1,2.7,,harriga01
490,Bronny James,21,LAL,SG,40,1,8.6,1.1,2.7,.396,0.5,1.3,.353,0.6,1.4,.436,.481,0.2,0.2,.857,0.1,0.4,0.5,1.2,0.4,0.1,0.6,0.7,2.7,,jamesbr02
491,Khaman Maluach,19,PHO,C,44,1,8.5,1.0,2.0,.529,0.1,0.4,.188,1.0,1.6,.606,.546,0.5,0.7,.710,0.9,1.7,2.6,0.1,0.1,0.7,0.5,0.9,2.7,,maluakh01
492,Alex Morales,28,ORL,PG,3,0,6.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.7,0.7,1.000,0.3,0.7,1.0,1.3,0.0,0.0,1.0,2.0,2.7,,moralal01
493,Antonio Reeves,25,CHO,SG,10,0,6.8,1.0,2.0,.500,0.7,1.3,.538,0.3,0.7,.429,.675,0.0,0.0,,0.2,0.6,0.8,0.3,0.1,0.0,0.1,0.3,2.7,,reevean01
494,Julian Phillips,22,2TM,SF,47,2,8.5,1.0,2.3,.413,0.4,1.3,.317,0.6,1.0,.531,.500,0.3,0.4,.882,0.5,0.6,1.0,0.2,0.4,0.1,0.2,0.8,2.6,,phillju01
494,Julian Phillips,22,CHI,SF,35,2,9.5,1.1,2.5,.420,0.5,1.4,.327,0.6,1.1,.538,.511,0.3,0.3,.818,0.6,0.6,1.3,0.2,0.5,0.2,0.2,0.9,2.8,,phillju01
494,Julian Phillips,22,MIN,SF,12,0,5.6,0.7,1.8,.381,0.3,0.9,.273,0.4,0.8,.500,.452,0.5,0.5,1.000,0.0,0.3,0.3,0.2,0.3,0.1,0.3,0.4,2.1,,phillju01
495,Jonathan Isaac,28,ORL,PF,52,0,10.0,0.9,2.1,.422,0.1,0.7,.184,0.8,1.4,.549,.454,0.7,1.1,.603,0.8,1.7,2.5,0.4,0.4,0.6,0.3,0.8,2.6,,isaacjo01
496,Jae'Sean Tate,30,HOU,SF,44,0,8.4,1.1,2.2,.500,0.2,0.7,.300,0.9,1.5,.588,.546,0.2,0.2,.700,0.7,0.8,1.4,0.5,0.2,0.1,0.3,1.0,2.6,,tateja01
497,Mo Bamba,27,2TM,C,4,0,11.0,1.3,2.8,.455,0.0,0.0,,1.3,2.8,.455,.455,0.0,0.0,,2.5,3.0,5.5,0.3,0.0,0.8,0.5,1.5,2.5,,bambamo01
497,Mo Bamba,27,TOR,C,2,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,,bambamo01
497,Mo Bamba,27,UTA,C,2,0,19.0,2.5,4.5,.556,0.0,0.0,,2.5,4.5,.556,.556,0.0,0.0,,4.5,5.5,10.0,0.5,0.0,1.0,1.0,2.0,5.0,,bambamo01
498,Nikola Topić,20,OKC,PG,8,0,10.3,1.0,2.9,.348,0.3,0.9,.286,0.8,2.0,.375,.391,0.3,0.3,1.000,0.5,1.1,1.6,2.4,0.1,0.0,1.5,0.9,2.5,,topicni01
